,Security,Symbol,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added[3][4],CIK,Founded
238,HollyFrontier Corp,HFC,reports,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",2018-06-18,0000048039,
239,Hologic,HOLX,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2016-03-30,0000859737,
240,Home Depot,HD,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988-03-31,0000354950,
241,Honeywell Int'l Inc.,HON,reports,Industrials,Industrial Conglomerates,"Morristown, New Jersey",1964-03-31,0000773840,1906
242,Hormel Foods Corp.,HRL,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",2009-03-04,0000048465,
243,Host Hotels & Resorts,HST,reports,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2007-03-20,0001070750,
244,HP Inc.,HPQ,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974-12-31,0000047217,1939 (2015)
245,Humana Inc.,HUM,reports,Health Care,Managed Health Care,"Louisville, Kentucky",,0000049071,1961
246,Huntington Bancshares,HBAN,reports,Financials,Regional Banks,"Columbus, Ohio",,0000049196,1866
247,Huntington Ingalls Industries,HII,reports,Industrials,Aerospace & Defense,"Newport News, Virginia",2018-01-03,0001501585,
248,IDEXX Laboratories,IDXX,reports,Health Care,Health Care Equipment,"Westbrook, Maine",2017-01-05,0000874716,
249,IHS Markit Ltd.,INFO,reports,Industrials,Research & Consulting Services,"London, United Kingdom",2017-06-02,0001598014,
250,Illinois Tool Works,ITW,reports,Industrials,Industrial Machinery,"Glenview, Illinois",1986-02-28,0000049826,
251,Illumina Inc,ILMN,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",2015-11-19,0001110803,
252,Ingersoll-Rand PLC,IR,reports,Industrials,Industrial Machinery,"Dublin, Ireland",2010-11-17,0001466258,
253,Intel Corp.,INTC,reports,Information Technology,Semiconductors,"Santa Clara, California",1976-12-31,0000050863,
254,Intercontinental Exchange,ICE,reports,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2007-09-26,0001571949,
255,International Business Machines,IBM,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",,0000051143,1911
256,Incyte,INCY,reports,Health Care,Biotechnology,"Wilmington, Delaware",2017-02-28,0000879169,
257,International Paper,IP,reports,Materials,Paper Packaging,"Memphis, Tennessee",,0000051434,1898
258,Interpublic Group,IPG,reports,Communication Services,Advertising,"New York, New York",1992-10-01,0000051644,
259,Intl Flavors & Fragrances,IFF,reports,Materials,Specialty Chemicals,"New York, New York",1976-03-31,0000051253,
260,Intuit Inc.,INTU,reports,Information Technology,Internet Software & Services,"Mountain View, California",2000-12-05,0000896878,
261,Intuitive Surgical Inc.,ISRG,reports,Health Care,Health Care Equipment,"Sunnyvale, California",2008-06-02,0001035267,
262,Invesco Ltd.,IVZ,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21,0000914208,
263,IPG Photonics Corp.,IPGP,reports,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",2018-03-07,0001111928,
264,IQVIA Holdings Inc.,IQV,reports,Health Care,Life Sciences Tools & Service,"Durham, North Carolina",2017-08-29,0001478242,
265,Iron Mountain Incorporated,IRM,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",2009-01-06,0001020569,
266,Jack Henry & Associates Inc,JKHY,reports,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",2018-11-13,0001262439,
267,Jacobs Engineering Group,JEC,reports,Industrials,Construction & Engineering,"Pasadena, California",2007-10-26,0000052988,
268,J. B. Hunt Transport Services,JBHT,reports,Industrials,Trucking,"Lowell, Arkansas",2015-07-01,0000728535,
269,Jefferies Financial Group,JEF,reports,Financials,Multi-Sector Holdings,"New York, New York",2007-08-27,0000096223,
270,JM Smucker,SJM,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2008-11-06,0000091419,
271,Johnson & Johnson,JNJ,reports,Health Care,Health Care Equipment,"New Brunswick, New Jersey",1973-06-30,0000200406,1886
272,Johnson Controls International,JCI,reports,Industrials,Building Products,"Cork, Ireland",2010-08-27,0000833444,
273,JPMorgan Chase & Co.,JPM,reports,Financials,Diversified Banks,"New York, New York",1975-06-30,0000019617,
274,Juniper Networks,JNPR,reports,Information Technology,Communications Equipment,"Sunnyvale, California",,0001043604,1996
275,Kansas City Southern,KSU,reports,Industrials,Railroads,"Kansas City, Missouri",2013-05-24,0000054480,
276,Kellogg Co.,K,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,0000055067,1906
277,KeyCorp,KEY,reports,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,0000091576,
278,Keysight Technologies,KEYS,reports,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018-11-06,0001601046,2014
279,Kimberly-Clark,KMB,reports,Consumer Staples,Household Products,"Irving, Texas",,0000055785,1872
280,Kimco Realty,KIM,reports,Real Estate,Retail REITs,"New Hyde Park, New York",2006-04-04,0000879101,
281,Kinder Morgan,KMI,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,0001506307,
282,KLA-Tencor Corp.,KLAC,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",,0000319201,1975/1977 (1997)
283,Kohl's Corp.,KSS,reports,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,0000885639,1962
284,Kraft Heinz Co,KHC,reports,Consumer Staples,Packaged Foods & Meats,"Pittsburgh, Pennsylvania",2015-07-06,0001637459,
285,Kroger Co.,KR,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",,0000056873,1883
286,L Brands Inc.,LB,reports,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",1983-09-30,0000701985,
287,L-3 Communications Holdings,LLL,reports,Industrials,Aerospace & Defense,"New York, New York",,0001056239,1997
288,Laboratory Corp. of America Holding,LH,reports,Health Care,Health Care Services,"Burlington, North Carolina",2004-11-01,0000920148,
289,Lam Research,LRCX,reports,Information Technology,Semiconductor Equipment,"Fremont, California",2012-06-29,0000707549,
290,Lamb Weston Holdings Inc,LW,reports,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2018-12-03,0001679273,
291,Leggett & Platt,LEG,reports,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,0000058492,1883
292,Lennar Corp.,LEN,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",2005-10-04,0000920760,
293,Lilly (Eli) & Co.,LLY,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31,0000059478,1876
294,Lincoln National,LNC,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",1976-06-30,0000059558,
295,Linde plc,LIN,reports,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",1992-07-01,0001707925,
296,LKQ Corporation,LKQ,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",2016-05-23,0001065696,
297,Lockheed Martin Corp.,LMT,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",1984-07-31,0000936468,
298,Loews Corp.,L,reports,Financials,Multi-line Insurance,"New York, New York",,0000060086,
299,Lowe's Cos.,LOW,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984-02-29,0000060667,1904/1946/1959
300,LyondellBasell,LYB,reports,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2012-09-05,0001489393,
301,M&T Bank Corp.,MTB,reports,Financials,Regional Banks,"Buffalo, New York",,0000036270,1856
302,Macerich,MAC,reports,Real Estate,Retail REITs,"Santa Monica, California",2013-05-09,0000912242,
303,Macy's Inc.,M,reports,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",,0000794367,1929
304,Marathon Oil Corp.,MRO,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1991-05-01,0000101778,
305,Marathon Petroleum,MPC,reports,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011-07-01,0001510295,
306,Marriott Int'l.,MAR,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,0001048286,1927
307,Marsh & McLennan,MMC,reports,Financials,Insurance Brokers,"New York, New York",1987-08-31,0000062709,
308,Martin Marietta Materials,MLM,reports,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,0000916076,
309,Masco Corp.,MAS,reports,Industrials,Building Products,"Taylor, Michigan",1981-06-30,0000062996,
310,Mastercard Inc.,MA,reports,Information Technology,Internet Software & Services,"Harrison, New York",2008-07-18,0001141391,
311,Mattel Inc.,MAT,reports,Consumer Discretionary,Leisure Products,"El Segundo, California",1982-03-31,0000063276,
312,McCormick & Co.,MKC,reports,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",,0000063754,1889
313,Maxim Integrated Products Inc,MXIM,reports,Information Technology,Semiconductors,"San Jose, California",2018-12-03,0000743316,1983
314,McDonald's Corp.,MCD,reports,Consumer Discretionary,Restaurants,"Chicago, Illinois",1970-06-30,0000063908,1940
315,McKesson Corp.,MCK,reports,Health Care,Health Care Distributors,"San Francisco, California",,0000927653,1833
316,Medtronic plc,MDT,reports,Health Care,Health Care Equipment,"Dublin, Ireland",1986-10-31,0000064670,
317,Merck & Co.,MRK,reports,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",,0000310158,1891
318,MetLife Inc.,MET,reports,Financials,Life & Health Insurance,"New York, New York",,0001099219,1868
319,Mettler Toledo,MTD,reports,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",2016-09-06,0001037646,
320,MGM Resorts International,MGM,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2017-07-26,0000789570,
321,Microchip Technology,MCHP,reports,Information Technology,Semiconductors,"Chandler, Arizona",2007-09-07,0000827054,
322,Micron Technology,MU,reports,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,0000723125,
323,Microsoft Corp.,MSFT,reports,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,0000789019,1975
324,Mid-America Apartments,MAA,reports,Real Estate,Residential REITs,"Memphis, Tennessee",2016-12-02,0000912595,
325,Mohawk Industries,MHK,reports,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",2013-12-23,0000851968,
326,Molson Coors Brewing Company,TAP,reports,Consumer Staples,Brewers,"Denver, Colorado",1976-06-30,0000024545,
327,Mondelez International,MDLZ,reports,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",2012-10-02,0001103982,
328,Monster Beverage,MNST,reports,Consumer Staples,Soft Drinks,"Corona, California",2012-06-28,0000865752,
329,Moody's Corp,MCO,reports,Financials,Financial Exchanges & Data,"New York, New York",,0001059556,1909
330,Morgan Stanley,MS,reports,Financials,Investment Banking & Brokerage,"New York, New York",,0000895421,1935
331,The Mosaic Company,MOS,reports,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",2011-09-26,0001285785,
332,Motorola Solutions Inc.,MSI,reports,Information Technology,Communications Equipment,"Schaumburg, Illinois",,0000068505,1928 (2011)
333,MSCI Inc,MSCI,reports,Financials,Financial Exchanges & Data,"New York, New York",2018-04-04,0001408198,
334,Mylan N.V.,MYL,reports,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",2004-04-23,0000069499,
335,"Nasdaq, Inc.",NDAQ,reports,Financials,Financial Exchanges & Data,"New York, New York",2008-10-22,0001120193,
336,National Oilwell Varco Inc.,NOV,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2005-03-14,0001021860,
337,Nektar Therapeutics,NKTR,reports,Health Care,Pharmaceuticals,"San Francisco, California",2018-03-19,0000906709,
338,NetApp,NTAP,reports,Information Technology,Internet Software & Services,"Sunnyvale, California",1999-06-25,0001002047,
339,Netflix Inc.,NFLX,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,0001065280,1997
340,Newell Brands,NWL,reports,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",1989-04-30,0000814453,
341,Newfield Exploration Co,NFX,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2010-12-20,0000912750,
342,Newmont Mining Corporation,NEM,reports,Materials,Gold,"Denver, Colorado",1969-06-30,0001164727,1921
343,News Corp. Class A,NWSA,reports,Communication Services,Publishing,"New York, New York",2013-08-01,0001564708,
344,News Corp. Class B,NWS,reports,Communication Services,Publishing,"New York, New York",2015-09-18,0001564708,
345,NextEra Energy,NEE,reports,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,0000753308,
346,Nielsen Holdings,NLSN,reports,Industrials,Research & Consulting Services,"New York, New York",2013-07-09,0001492633,
347,Nike,NKE,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30,0000320187,
348,NiSource Inc.,NI,reports,Utilities,Multi-Utilities,"Merrillville, Indiana",,0001111711,1912
349,Noble Energy Inc,NBL,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2007-10-08,0000072207,
350,Nordstrom,JWN,reports,Consumer Discretionary,Department Stores,"Seattle, Washington",1986-08-31,0000072333,
351,Norfolk Southern Corp.,NSC,reports,Industrials,Railroads,"Norfolk, Virginia",,0000702165,1881/1894 (1980)
352,Northern Trust Corp.,NTRS,reports,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,0000073124,1889
353,Northrop Grumman Corp.,NOC,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1985-06-30,0001133421,
354,Norwegian Cruise Line,NCLH,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017-10-13,0001513761,
355,NRG Energy,NRG,reports,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",2010-01-29,0001013871,
356,Nucor Corp.,NUE,reports,Materials,Steel,"Charlotte, North Carolina",1985-04-30,0000073309,
357,Nvidia Corporation,NVDA,reports,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,0001045810,
358,O'Reilly Automotive,ORLY,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",2009-03-27,0000898173,
359,Occidental Petroleum,OXY,reports,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",1982-12-31,0000797468,
360,Omnicom Group,OMC,reports,Communication Services,Advertising,"New York, New York",,0000029989,1986
361,ONEOK,OKE,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15,0001039684,
362,Oracle Corp.,ORCL,reports,Information Technology,Application Software,"Redwood Shores, California",1989-08-31,0001341439,
363,PACCAR Inc.,PCAR,reports,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",1980-12-31,0000075362,
364,Packaging Corporation of America,PKG,reports,Materials,Paper Packaging,"Lake Forest, Illinois",2017-07-26,0000075677,
365,Parker-Hannifin,PH,reports,Industrials,Industrial Machinery,"Cleveland, Ohio",1985-11-30,0000076334,
366,Paychex Inc.,PAYX,reports,Information Technology,Internet Software & Services,"Penfield, New York",,0000723531,1971
367,PayPal,PYPL,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015-07-20,0001633917,
368,Pentair plc,PNR,reports,Industrials,Industrial Machinery,"Worsley, UK",2012-10-01,0000077360,
369,People's United Financial,PBCT,reports,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",2008-11-13,0001378946,
370,PepsiCo Inc.,PEP,reports,Consumer Staples,Soft Drinks,"Purchase, New York",,0000077476,1898
371,PerkinElmer,PKI,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985-05-31,0000031791,
372,Perrigo,PRGO,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",2011-12-19,0001585364,
373,Pfizer Inc.,PFE,reports,Health Care,Pharmaceuticals,"New York, New York",,0000078003,1849
374,Philip Morris International,PM,reports,Consumer Staples,Tobacco,"New York, New York",2008-03-31,0001413329,
375,Phillips 66,PSX,reports,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01,0001534701,
376,Pinnacle West Capital,PNW,reports,Utilities,Multi-Utilities,"Phoenix, Arizona",,0000764622,1985
377,Pioneer Natural Resources,PXD,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",2008-09-24,0001038357,
378,PNC Financial Services,PNC,reports,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988-04-30,0000713676,
379,Polo Ralph Lauren Corp.,RL,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2007-02-02,0001037038,
380,PPG Industries,PPG,reports,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",,0000079879,1883
381,PPL Corp.,PPL,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania",,0000922224,
382,Principal Financial Group,PFG,reports,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,0001126328,
383,Procter & Gamble,PG,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",,0000080424,1837
384,Progressive Corp.,PGR,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,0000080661,
385,Prologis,PLD,reports,Real Estate,Industrial REITs,"San Francisco, California",2003-07-17,0001045609,
386,Prudential Financial,PRU,reports,Financials,Life & Health Insurance,"Newark, New Jersey",2002-07-22,0001137774,
387,Public Serv. Enterprise Inc.,PEG,reports,Utilities,Electric Utilities,"Newark, New Jersey",,0000788784,
388,Public Storage,PSA,reports,Real Estate,Specialized REITs,"Glendale, California",2005-08-19,0001393311,
389,Pulte Homes Inc.,PHM,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,0000822416,
390,PVH Corp.,PVH,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2013-02-15,0000078239,
391,Qorvo,QRVO,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",2015-06-11,0001604778,
392,Quanta Services Inc.,PWR,reports,Industrials,Construction & Engineering,"Houston, Texas",2009-07-01,0001050915,
393,QUALCOMM Inc.,QCOM,reports,Information Technology,Semiconductors,"San Diego, California",,0000804328,1985
394,Quest Diagnostics,DGX,reports,Health Care,Health Care Services,"Madison, New Jersey",2002-12-12,0001022079,
395,Raymond James Financial Inc.,RJF,reports,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20,0000720005,
396,Raytheon Co.,RTN,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,0001047122,1922
397,Realty Income Corporation,O,reports,Real Estate,Retail REITs,"San Diego, California",2015-04-07,0000726728,
398,Red Hat Inc.,RHT,reports,Information Technology,Systems Software,"Raleigh, North Carolina",2009-07-27,0001087423,
399,Regency Centers Corporation,REG,reports,Real Estate,Retail REITs,"Jacksonville, Florida",2017-03-02,0000910606,
400,Regeneron,REGN,reports,Health Care,Biotechnology,"Tarrytown, New York",2013-05-01,0000872589,
401,Regions Financial Corp.,RF,reports,Financials,Regional Banks,"Birmingham, Alabama",1998-08-28,0001281761,
402,Republic Services Inc,RSG,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,0001060391,
403,ResMed,RMD,reports,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,0000943819,
404,Robert Half International,RHI,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",2000-12-05,0000315213,
405,Rockwell Automation Inc.,ROK,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,0001024478,
406,Rollins Inc.,ROL,reports,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",2018-10-01,0000084839,
407,Roper Technologies,ROP,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",2009-12-23,0000882835,
408,Ross Stores,ROST,reports,Consumer Discretionary,Apparel Retail,"Pleasanton, California",2009-12-21,0000745732,
409,Royal Caribbean Cruises Ltd,RCL,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014-12-05,0000884887,
410,Salesforce.com,CRM,reports,Information Technology,Internet Software & Services,"San Francisco, California",2008-09-15,0001108524,
411,SBA Communications,SBAC,reports,Real Estate,Specialized REITs,"Boca Raton, Florida",2017-09-01,0001034054,
412,Schlumberger Ltd.,SLB,reports,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1965-03-31,0000087347,1926
413,Seagate Technology,STX,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02,0001137789,
414,Sealed Air,SEE,reports,Materials,Paper Packaging,"Elmwood Park, New Jersey",,0001012100,
415,Sempra Energy,SRE,reports,Utilities,Multi-Utilities,"San Diego, California",,0001032208,
416,Sherwin-Williams,SHW,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,0000089800,1866
417,Simon Property Group Inc,SPG,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",2002-06-26,0001063761,
418,Skyworks Solutions,SWKS,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",2015-03-12,0000004127,
419,SL Green Realty,SLG,reports,Real Estate,Office REITs,"New York, New York",2015-03-20,0001040971,
420,Snap-on,SNA,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",1982-09-30,0000091440,
421,Southern Co.,SO,reports,Utilities,Electric Utilities,"Atlanta, Georgia",,0000092122,
422,Southwest Airlines,LUV,reports,Industrials,Airlines,"Dallas, Texas",1994-07-01,0000092380,
423,"S&P Global, Inc.",SPGI,reports,Financials,Financial Exchanges & Data,"New York, New York",,0000064040,
424,Stanley Black & Decker,SWK,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",1982-09-30,0000093556,
425,Starbucks Corp.,SBUX,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",,0000829224,1971
426,State Street Corp.,STT,reports,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,0000093751,
427,Stryker Corp.,SYK,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12,0000310764,
428,SunTrust Banks,STI,reports,Financials,Regional Banks,"Atlanta, Georgia",1988-05-31,0000750556,
429,SVB Financial,SIVB,reports,Financials,Regional Banks,"Santa Clara, California",2018-03-19,0000719739,
430,Symantec Corp.,SYMC,reports,Information Technology,Application Software,"Mountain View, California",2003-03-25,0000849399,
431,Synchrony Financial,SYF,reports,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18,0001601712,
432,Synopsys Inc.,SNPS,reports,Information Technology,Application Software,"Mountain View, California",2017-03-16,0000883241,
433,Sysco Corp.,SYY,reports,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,0000096021,
434,T. Rowe Price Group,TROW,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,0001113169,1937
435,Take-Two Interactive,TTWO,reports,Communication Services,Interactive Home Entertainment,"New York, New York",2018-03-19,0000946581,
436,"Tapestry, Inc.",TPR,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,0001116132,2017
437,Target Corp.,TGT,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1976-12-31,0000027419,
438,TE Connectivity Ltd.,TEL,reports,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2011-10-17,0001385157,
439,TechnipFMC,FTI,reports,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",2009-06-05,0001681459,
440,Teleflex Inc,TFX,reports,Health Care,Health Care Equipment,"Wayne, Pennsylvania",2019-01-18,0000096943,1943
441,Texas Instruments,TXN,reports,Information Technology,Semiconductors,"Dallas, Texas",,0000097476,1930
442,Textron Inc.,TXT,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,0000217346,
443,Thermo Fisher Scientific,TMO,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",,0000097745,2006
444,Tiffany & Co.,TIF,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2000-06-21,0000098246,
445,"Twitter, Inc.",TWTR,reports,Communication Services,Interactive Media & Services,"San Francisco, California",2018-06-07,0001418091,
446,TJX Companies Inc.,TJX,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985-09-30,0000109198,
447,Torchmark Corp.,TMK,reports,Financials,Life & Health Insurance,"McKinney, Texas",1989-04-30,0000320335,
448,Total System Services,TSS,reports,Information Technology,Internet Software & Services,"Columbus, Georgia",2008-01-02,0000721683,
449,Tractor Supply Company,TSCO,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",2014-01-24,0000916365,
450,TransDigm Group,TDG,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,0001260221,
451,The Travelers Companies Inc.,TRV,reports,Financials,Property & Casualty Insurance,"New York, New York",2002-08-21,0000086312,
452,TripAdvisor,TRIP,reports,Communication Services,Interactive Media & Services,"Newton, Massachusetts",2011-12-21,0001526520,
453,Twenty-First Century Fox Class A,FOXA,reports,Communication Services,Movies & Entertainment,"New York, New York",2013-07-01,0001308161,
454,Twenty-First Century Fox Class B,FOX,reports,Communication Services,Movies & Entertainment,"New York, New York",2015-09-18,0001308161,
455,Tyson Foods,TSN,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,0000100493,
456,UDR Inc,UDR,reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",2016-03-07,0000074208,
457,Ulta Beauty,ULTA,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",2016-04-18,0001403568,
458,U.S. Bancorp,USB,reports,Financials,Diversified Banks,"Minneapolis, Minnesota",,0000036104,1968
459,Under Armour Class A,UAA,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2016-03-25,0001336917,
460,Under Armour Class C,UA,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2014-05-01,0001336917,
461,Union Pacific,UNP,reports,Industrials,Railroads,"Omaha, Nebraska",,0000100885,
462,United Continental Holdings,UAL,reports,Industrials,Airlines,"Chicago, Illinois",2015-09-03,0000100517,
463,United Health Group Inc.,UNH,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,0000731766,
464,United Parcel Service,UPS,reports,Industrials,Air Freight & Logistics,"Atlanta, Georgia",2002-07-22,0001090727,
465,"United Rentals, Inc.",URI,reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20,0001067701,
466,United Technologies,UTX,reports,Industrials,Aerospace & Defense,"Hartford, Connecticut",,0000101829,
467,"Universal Health Services, Inc.",UHS,reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,0000352915,
468,Unum Group,UNM,reports,Financials,Life & Health Insurance,"Chattanooga, Tennessee",1994-03-01,0000005513,
469,V.F. Corp.,VFC,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",1979-06-30,0000103379,
470,Valero Energy,VLO,reports,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,0001035002,1980
471,Varian Medical Systems,VAR,reports,Health Care,Health Care Equipment,"Palo Alto, California",2007-02-12,0000203527,
472,Ventas Inc,VTR,reports,Real Estate,Health Care REITs,"Chicago, Illinois",2009-03-04,0000740260,
473,Verisign Inc.,VRSN,reports,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2006-02-01,0001014473,
474,Verisk Analytics,VRSK,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,0001442145,
475,Verizon Communications,VZ,reports,Communication Services,Integrated Telecommunication Services,"New York, New York",1983-11-30,0000732712,
476,Vertex Pharmaceuticals Inc,VRTX,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",2013-09-23,0000875320,
477,Viacom Inc.,VIAB,reports,Communication Services,Movies & Entertainment,"New York, New York",,0001339947,
478,Visa Inc.,V,reports,Information Technology,Internet Software & Services,"San Francisco, California",2009-12-21,0001403161,
479,Vornado Realty Trust,VNO,reports,Real Estate,Office REITs,"New York, New York",,0000899689,
